date_time,comment/reply,name,url
"Aug-16-2023, 22:22:58","Miria, put some pants on!",Anonymous,http://boards.4chan.org/a/thread/256140794/the-idolmster-u149#p256140794
"Aug-16-2023, 22:28:22",">Take my shit off?
>Got it!",Anonymous,http://boards.4chan.org/a/thread/256140794/the-idolmster-u149#p256140912
"Aug-16-2023, 22:35:54","Goofy Miria, pick up your pants!",Anonymous,http://boards.4chan.org/a/thread/256140794/the-idolmster-u149#p256141099
"Aug-16-2023, 22:36:06",That's a busty idol,Vert,http://boards.4chan.org/a/thread/256140794/the-idolmster-u149#p256141103
"Aug-16-2023, 22:42:40",Miria is ready to fuck her shota husband!,Anonymous,http://boards.4chan.org/a/thread/256140794/the-idolmster-u149#p256141270
"Aug-16-2023, 22:44:09",she's been drinking plenty of MILK,Anonymous,http://boards.4chan.org/a/thread/256140794/the-idolmster-u149#p256141304
"Aug-16-2023, 22:50:07","jesus those are really dug in there 
she has to be aware of that",Anonymous,http://boards.4chan.org/a/thread/256140794/the-idolmster-u149#p256141450
"Aug-16-2023, 22:51:15",>Miria will never sexually abuse you,Anonymous,http://boards.4chan.org/a/thread/256140794/the-idolmster-u149#p256141477
"Aug-16-2023, 23:02:24",Hag sex,Anonymous,http://boards.4chan.org/a/thread/256140794/the-idolmster-u149#p256141750
"Aug-16-2023, 23:05:02",JK marriage.,Anonymous,http://boards.4chan.org/a/thread/256140794/the-idolmster-u149#p256141829
"Aug-16-2023, 23:14:19",this OP picture has neener surprised.,Anonymous,http://boards.4chan.org/a/thread/256140794/the-idolmster-u149#p256142039
"Aug-16-2023, 23:15:55",Shooing Nina away while licking Miria's cunny!,Anonymous,http://boards.4chan.org/a/thread/256140794/the-idolmster-u149#p256142080
"Aug-16-2023, 23:16:06","look away Nina, you're too young for that outfit",Anonymous,http://boards.4chan.org/a/thread/256140794/the-idolmster-u149#p256142085
"Aug-16-2023, 23:19:09",">>256142085
neener has gone away to play with her kigurumi collection.",Anonymous,http://boards.4chan.org/a/thread/256140794/the-idolmster-u149#p256142163
"Aug-16-2023, 23:19:36",W-what did she mean by thus?!,Anonymous,http://boards.4chan.org/a/thread/256140794/the-idolmster-u149#p256142174
"Aug-16-2023, 23:20:57",can I come too,Anonymous,http://boards.4chan.org/a/thread/256140794/the-idolmster-u149#p256142212
"Aug-16-2023, 23:20:59",,Anonymous,http://boards.4chan.org/a/thread/256140794/the-idolmster-u149#p256142215
"Aug-16-2023, 23:21:29",depends on her mood.,Anonymous,http://boards.4chan.org/a/thread/256140794/the-idolmster-u149#p256142224
"Aug-16-2023, 23:21:39",papa buys her special books from the 18+ section,Anonymous,http://boards.4chan.org/a/thread/256140794/the-idolmster-u149#p256142227
"Aug-16-2023, 23:22:05",,Anonymous,http://boards.4chan.org/a/thread/256140794/the-idolmster-u149#p256142239
"Aug-16-2023, 23:22:36",,Vert,http://boards.4chan.org/a/thread/256140794/the-idolmster-u149#p256142254
"Aug-16-2023, 23:22:40",,Anonymous,http://boards.4chan.org/a/thread/256140794/the-idolmster-u149#p256142255
"Aug-16-2023, 23:32:50",,Anonymous,http://boards.4chan.org/a/thread/256140794/the-idolmster-u149#p256142491
"Aug-16-2023, 23:46:08",Me as idol teacher,Anonymous,http://boards.4chan.org/a/thread/256140794/the-idolmster-u149#p256142801
"Aug-16-2023, 23:48:06",aren't they a little old for those uniforms,Anonymous,http://boards.4chan.org/a/thread/256140794/the-idolmster-u149#p256142852
"Aug-16-2023, 23:51:26",After you see the light flash you'll only like hags and venus body MILFs.,Anonymous,http://boards.4chan.org/a/thread/256140794/the-idolmster-u149#p256142965
"Aug-16-2023, 23:57:01",Hags like Kaho-chan?,Anonymous,http://boards.4chan.org/a/thread/256140794/the-idolmster-u149#p256143109
"Aug-17-2023, 00:08:37",,Vert,http://boards.4chan.org/a/thread/256140794/the-idolmster-u149#p256143410
"Aug-17-2023, 00:14:34","Ok Nagi was flavor of the month, it's Hayate time.",Anonymous,http://boards.4chan.org/a/thread/256140794/the-idolmster-u149#p256143558
"Aug-17-2023, 01:09:01",>>256143558,Anonymous,http://boards.4chan.org/a/thread/256140794/the-idolmster-u149#p256145023
"Aug-17-2023, 01:42:09",sure is a hot one,Anonymous,http://boards.4chan.org/a/thread/256140794/the-idolmster-u149#p256145883
"Aug-17-2023, 01:44:43",Uh oh,Anonymous,http://boards.4chan.org/a/thread/256140794/the-idolmster-u149#p256145940
"Aug-17-2023, 04:50:06",Arisu talking to the 876's,Anonymous,http://boards.4chan.org/a/thread/256140794/the-idolmster-u149#p256148854
"Aug-17-2023, 05:44:58",>>256142039,Anonymous,http://boards.4chan.org/a/thread/256140794/the-idolmster-u149#p256149663
"Aug-17-2023, 06:02:55",I love junior idols!,Anonymous,http://boards.4chan.org/a/thread/256140794/the-idolmster-u149#p256149920
"Aug-17-2023, 06:19:49","U149 IDOLS ARE THE BEST
THE BEEEEEEEEEEEEEST",Anonymous,http://boards.4chan.org/a/thread/256140794/the-idolmster-u149#p256150213
"Aug-17-2023, 06:25:43",>>256150213,Anonymous,http://boards.4chan.org/a/thread/256140794/the-idolmster-u149#p256150314
"Aug-17-2023, 06:26:56",U149 maid cafe would make bank for some old Yakuza fucks for decades,Anonymous,http://boards.4chan.org/a/thread/256140794/the-idolmster-u149#p256150335
"Aug-17-2023, 06:29:15",Miria' smile is way too erotic...,Anonymous,http://boards.4chan.org/a/thread/256140794/the-idolmster-u149#p256150369
