date_time,comment/reply,name,url
"Aug-18-2023, 07:18:19",Please buy the BD,Anonymous,http://boards.4chan.org/a/thread/256187753/kanojo-okarishimasu#p256187753
"Aug-18-2023, 07:21:19","By buying the BD, you've already seen more of Choziru's skin than Kazuya has despite how many thousands of dollars he's spent on her.",Anonymous,http://boards.4chan.org/a/thread/256187753/kanojo-okarishimasu#p256187834
"Aug-18-2023, 07:49:23",">a scene many of her clients has seen countless times
pfft",Anonymous,http://boards.4chan.org/a/thread/256187753/kanojo-okarishimasu#p256188374
"Aug-18-2023, 07:58:41",show would have been better if she was an actual prostitute,Anonymous,http://boards.4chan.org/a/thread/256187753/kanojo-okarishimasu#p256188553
"Aug-18-2023, 08:02:23","You're drunk and this starts to happen, what do",Anonymous,http://boards.4chan.org/a/thread/256187753/kanojo-okarishimasu#p256188629
"Aug-18-2023, 08:04:31",">I paid for her services so I should be entitled to see skin!
That's how pathetic you sound, incel.",Anonymous,http://boards.4chan.org/a/thread/256187753/kanojo-okarishimasu#p256188677
"Aug-18-2023, 08:07:19",post all of it faget,Anonymous,http://boards.4chan.org/a/thread/256187753/kanojo-okarishimasu#p256188750
"Aug-18-2023, 08:11:17","Here you go faget. just scroll down. 

https://twitter.com/kanokari_anime/media",Anonymous,http://boards.4chan.org/a/thread/256187753/kanojo-okarishimasu#p256188833
"Aug-18-2023, 08:13:52",How much does she charge for the extra service?,Anonymous,http://boards.4chan.org/a/thread/256187753/kanojo-okarishimasu#p256188890
"Aug-18-2023, 08:14:52",meh,Anonymous,http://boards.4chan.org/a/thread/256187753/kanojo-okarishimasu#p256188910
"Aug-18-2023, 08:34:52","Unless Miyajima told director-kun to cut off every scene where Kazuya shows weakness in her obsession with Mizuhara.
Daily reminder this season is cutting off evety scene that shows the other girls feeling something sincere at Kazuya.",Anonymous,http://boards.4chan.org/a/thread/256187753/kanojo-okarishimasu#p256189366
"Aug-18-2023, 08:39:10","Instead, previous chapter added an anime original scene where Chizuru was all blushing and red after returning from the last scene shot.
It's obvious the reason why the series' director was changed. Previous one was a rukafag, however the newest one isn't neutral and was shown being a huge Chizurusimp and kazuchizufag.
Replacing an extreme with snother causes more harm than good.",Anonymous,http://boards.4chan.org/a/thread/256187753/kanojo-okarishimasu#p256189472
"Aug-18-2023, 08:41:19",The angel and the oni.,Anonymous,http://boards.4chan.org/a/thread/256187753/kanojo-okarishimasu#p256189530
"Aug-18-2023, 08:42:34",The dress that will use when she marries Kazuya,Anonymous,http://boards.4chan.org/a/thread/256187753/kanojo-okarishimasu#p256189566
"Aug-18-2023, 08:44:16",Preaaaasu buy za Buru reizu,Anonymous,http://boards.4chan.org/a/thread/256187753/kanojo-okarishimasu#p256189603
"Aug-18-2023, 08:45:33",,Anonymous,http://boards.4chan.org/a/thread/256187753/kanojo-okarishimasu#p256189639
"Aug-18-2023, 08:47:44","And done.
Just woke up to give you those eyecandies. Picrel is my state rn.
Gotta go to sleep again.",Anonymous,http://boards.4chan.org/a/thread/256187753/kanojo-okarishimasu#p256189696
"Aug-18-2023, 08:54:31",Chizuru's art continues to get more and more sluty.,Anonymous,http://boards.4chan.org/a/thread/256187753/kanojo-okarishimasu#p256189828
"Aug-18-2023, 08:59:38",Good. The only good thing about this manga were her date outfits.,Anonymous,http://boards.4chan.org/a/thread/256187753/kanojo-okarishimasu#p256189931
"Aug-18-2023, 09:09:21",If Ruka is the oni who the fuck is Mami,Anonymous,http://boards.4chan.org/a/thread/256187753/kanojo-okarishimasu#p256190158
"Aug-18-2023, 09:10:22",Reiji should just stop writing and draw fashion or LN covers or some shit,Anonymous,http://boards.4chan.org/a/thread/256187753/kanojo-okarishimasu#p256190181
"Aug-18-2023, 09:15:33",Maou,Anonymous,http://boards.4chan.org/a/thread/256187753/kanojo-okarishimasu#p256190314
"Aug-18-2023, 09:20:45",Why are you smiling at me likevthat?,Anonymous,http://boards.4chan.org/a/thread/256187753/kanojo-okarishimasu#p256190441
"Aug-18-2023, 09:24:54",can someone desample this,Anonymous,http://boards.4chan.org/a/thread/256187753/kanojo-okarishimasu#p256190543
"Aug-18-2023, 09:27:25",This can't be Chizuru. Where's the saggy tits?,Anonymous,http://boards.4chan.org/a/thread/256187753/kanojo-okarishimasu#p256190606
"Aug-18-2023, 09:29:13","Don't worry it's the last season anyway and it will end with: read the manga if you want to know how it ends, right after the cheer up date to imply he can somehow win her over when she's at her most vulnerable. They won't adapt the cuck season.",Anonymous,http://boards.4chan.org/a/thread/256187753/kanojo-okarishimasu#p256190654
"Aug-18-2023, 09:31:25",">Why are you smiling at me like that...
Aaaahhh, you gave me funny memories to one of MemeTL's magnus opus.
Shall kanokari have its own meme translation??",Anonymous,http://boards.4chan.org/a/thread/256187753/kanojo-okarishimasu#p256190712
"Aug-18-2023, 09:32:42",Kek,Anonymous,http://boards.4chan.org/a/thread/256187753/kanojo-okarishimasu#p256190748
