date_time,comment/reply,name,url
"Aug-10-2023, 19:43:31","I’m about to hang out with a real BBC only queen tonight, any tips / questions ? White and about 3 inches btw",Anonymous,http://boards.4chan.org/b/thread/904113208/about-to-get-cucked-hard#p904113208
"Aug-10-2023, 19:59:30","you need help bro self hate isnt cool
fuck your wife and give her kids",Anonymous,http://boards.4chan.org/b/thread/904113208/about-to-get-cucked-hard#p904113862
"Aug-10-2023, 20:01:26",">wife
I mean I’m super single and I connected with this QUEEN on Twitter, going to shoot some OF stuff with her where I’m the white cuck",Anonymous,http://boards.4chan.org/b/thread/904113208/about-to-get-cucked-hard#p904113926
"Aug-10-2023, 20:06:03",I highly recommend that you kill yourself as soon as humanly possible and rid the planet of your awfulness,Anonymous,http://boards.4chan.org/b/thread/904113208/about-to-get-cucked-hard#p904114112
"Aug-10-2023, 20:07:22",weird asf,Anonymous,http://boards.4chan.org/b/thread/904113208/about-to-get-cucked-hard#p904114159
"Aug-10-2023, 20:20:09",">>904113926

Grow a spine you absolute waste of oxygen. Turn up, headbutt the nigger and then rape the bitch",Anonymous,http://boards.4chan.org/b/thread/904113208/about-to-get-cucked-hard#p904114616
"Aug-10-2023, 20:23:08","Bro I would die that guy is pretty big lol
Honestly not sure I’m strong enough to rape either",Anonymous,http://boards.4chan.org/b/thread/904113208/about-to-get-cucked-hard#p904114715
"Aug-10-2023, 20:23:30",Ok Herschel,Anonymous,http://boards.4chan.org/b/thread/904113208/about-to-get-cucked-hard#p904114731
"Aug-10-2023, 20:24:29","yeah!!! whites rule!! that's why america has been completely taken over by nonwhites!! nice work aryans, very based!!!",Anonymous,http://boards.4chan.org/b/thread/904113208/about-to-get-cucked-hard#p904114766
"Aug-10-2023, 20:50:17",And ofc you are paying for this shit,Anonymous,http://boards.4chan.org/b/thread/904113208/about-to-get-cucked-hard#p904115800
