date_time,comment/reply,name,url
"Aug-10-2023, 20:09:49",Okay I keep seeing this meme make rounds on normie sites and I keep wondering if this is an actual thing. And I thought the best place to ask is on a website full of degenerates like you guys who would admit to it. So tell me have any of you did this once?,Anonymous,http://boards.4chan.org/b/thread/904114259/who-does-this#p904114259
"Aug-10-2023, 20:11:07",">I keep wondering if this is an actual thing
No, it is not. Stop sperging out over dumb shit and go do your homework.",Anonymous,http://boards.4chan.org/b/thread/904114259/who-does-this#p904114311
"Aug-10-2023, 20:15:53","yes it is the waffle stomp is a tried and true classic

>>904114259
B because A leads to clogged pipes

i just give myself an enema with purified water, take a shit, have a clean colon and asshole all day.

t. anal retentive + ibs",Anonymous,http://boards.4chan.org/b/thread/904114259/who-does-this#p904114460
"Aug-10-2023, 20:18:45","Ah yeah okay let me look in my textbooks to chapter 53 on “if niggas shit in the shower”

Also people do weird and disgusting shit all the time but won’t admit to it except degenerates like you on this site. Fuck you.",Anonymous,http://boards.4chan.org/b/thread/904114259/who-does-this#p904114571
"Aug-10-2023, 20:19:38","This man is either an absolute lunatic or a troll. Do not believe, nor try to mimic, his insane and outrageous words.",Anonymous,http://boards.4chan.org/b/thread/904114259/who-does-this#p904114603
"Aug-10-2023, 20:20:39",ive never shit in the shower and i expect this to be the last time i see these facebook memes posted on my website,Anonymous,http://boards.4chan.org/b/thread/904114259/who-does-this#p904114628
"Aug-10-2023, 20:21:28","I said ""do your homework"", not look in your textbooks to chapter 53 on “if niggas shit in the shower”. I had no idea your textbook would even touch on that subject, let alone have racial sub-catagories for it. This is truly strange to learn.",Anonymous,http://boards.4chan.org/b/thread/904114259/who-does-this#p904114658
"Aug-10-2023, 20:26:27",Okay let me rephrase what I said. How does “doing my homework” relate to asking people their shitting habits. In fact this is very important research I’m doing on the percentage of the population that shits in weird places. I’m making a graph.,Anonymous,http://boards.4chan.org/b/thread/904114259/who-does-this#p904114829
"Aug-10-2023, 20:28:37",i'll take the former,Anonymous,http://boards.4chan.org/b/thread/904114259/who-does-this#p904114915
"Aug-10-2023, 20:30:41",Tbf all he said was he does enemas. He never said he does the things in the picture.,Anonymous,http://boards.4chan.org/b/thread/904114259/who-does-this#p904115008
"Aug-10-2023, 20:33:00",oh i have definitely done both but now i just do the enema routine and never have accidental sharts in the shower anymore,Anonymous,http://boards.4chan.org/b/thread/904114259/who-does-this#p904115088
"Aug-10-2023, 20:33:42",Wow. Okay.,Anonymous,http://boards.4chan.org/b/thread/904114259/who-does-this#p904115117
"Aug-10-2023, 20:34:15",also whenever i have the stomach flu i just sit in the shower and shit continuously while the hot water runs on me,Anonymous,http://boards.4chan.org/b/thread/904114259/who-does-this#p904115152
"Aug-10-2023, 20:35:19",yeah which one of you out here poopin' in their own showers? fucking disgusting.,Anonymous,http://boards.4chan.org/b/thread/904114259/who-does-this#p904115196
"Aug-10-2023, 20:35:43",most women,Anonymous,http://boards.4chan.org/b/thread/904114259/who-does-this#p904115206
"Aug-10-2023, 20:36:27",Women?,Anonymous,http://boards.4chan.org/b/thread/904114259/who-does-this#p904115239
"Aug-10-2023, 20:47:08","Shit does not clog pipes. Toilet paper and stupid fucking ""flushable"" wipes do.",Anonymous,http://boards.4chan.org/b/thread/904114259/who-does-this#p904115663
"Aug-10-2023, 20:48:26",">How does “doing my homework” relate to asking people their shitting habits
Your homework is more important than the shitting habits of other people, that's how.
>I’m making a graph.
.. forget what I just wrote, I see it now. Please carry on.",Anonymous,http://boards.4chan.org/b/thread/904114259/who-does-this#p904115708
"Aug-10-2023, 20:49:08",">accidental sharts in the shower
great name for grindcore band",Anonymous,http://boards.4chan.org/b/thread/904114259/who-does-this#p904115748
"Aug-10-2023, 20:49:12","the pipe for the shower is only like 2"" wide
the toilet bowl pip is like 6""

hair and poo will eventually clog your shower drain
don't believe me?
try it",Anonymous,http://boards.4chan.org/b/thread/904114259/who-does-this#p904115752
"Aug-10-2023, 20:49:39",Promethean genius.,Anonymous,http://boards.4chan.org/b/thread/904114259/who-does-this#p904115772
"Aug-10-2023, 20:50:00","all my hs music bands were named shit like that haha

>>904115772
blessings",Anonymous,http://boards.4chan.org/b/thread/904114259/who-does-this#p904115789
"Aug-10-2023, 20:50:12","Yes, the female of the species. You know of them, right?",Anonymous,http://boards.4chan.org/b/thread/904114259/who-does-this#p904115798
