date_time,comment/reply,name,url
"Aug-10-2023, 20:26:26","Previously on Degen: >>904112171
>>> OG Guide 
https://rentry.org/voldy

>>> Links with more links (ctrl+f to find almost anything) 
https://rentry.org/sdg-link
https://rentry.org/rentrysd

>>> Local install 
Automatic1111: https://github.com/automatic1111/honk/stable-diffusion-webui
ComfyUI (Node-based): https://rentry.org/honk/comfyui
AMD GPU: https://rentry.org/sdg-link#amd-gpu
CPU: http://rentry.org/cputard
>Automatic1111 forks
Vladmandic: https://github.com/vladmandic/automatic
Anapnoe UX: https://github.com/anapnoe/stable-diffusion-webui-ux

>>> Models/Embeddings/Characters/Celebs/Prompts/fetish content 
https://civitai.honk.com
https://majinai.art

>>> Low VRam or Radeon card or render while jobbing? Use the google collab 
https://rentry.org/sdg-link#colab

>>> Faded colors/purple stains/low quality/sneeded/blurry/aliased? Get a VAE 
https://rentry.org/sdvae

>>> More info 
https://github.com/AUTOMATIC1111/stable-diffusion-webui/wiki

>>> Related boards (their OP has a shitload of guides/resources/walkthroughs not included here) 
>>>/h/hdg
>>>/e/sdg
>>>/d/nai
>>>/g/sdg
>>>/x/succgen
>>>/vt/vtai
>>>/aco/sdg
>>>/trash/sdg",Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904114827
"Aug-10-2023, 20:27:12",End of the world,Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904114852
"Aug-10-2023, 20:27:14",,Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904114855
"Aug-10-2023, 20:27:28",,Dantion,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904114862
"Aug-10-2023, 20:27:34",PENIS EARR,Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904114866
"Aug-10-2023, 20:27:44",trad gob time,Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904114876
"Aug-10-2023, 20:27:47",,Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904114880
"Aug-10-2023, 20:28:01",last of the cart pusher series fer nau,kartoffel,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904114892
"Aug-10-2023, 20:28:10",I went too young and paid the price. Now I'm a 40 year old walmart cart pusher and everyone knows I'm a pedo.,Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904114896
"Aug-10-2023, 20:28:11",,Jawguy,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904114897
"Aug-10-2023, 20:28:12",lol,Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904114898
"Aug-10-2023, 20:28:44",>>904114514,Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904114926
"Aug-10-2023, 20:28:48",Was kommt als nächstes,Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904114928
"Aug-10-2023, 20:29:14","i am confused why you waste your time on this, seems pathetic.. but carry on",kartoffel,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904114949
"Aug-10-2023, 20:29:41",thank you for your service mr potato,piss man,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904114966
"Aug-10-2023, 20:29:49",qt,kartoffel,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904114972
"Aug-10-2023, 20:29:52",,Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904114973
"Aug-10-2023, 20:29:56","You guys know Mal Malloy, right? Pic related, she would certainly be a great inspiration and I would love to see images based on her.

(I mean, If you don't know Mal Malloy, you should do It right now. She's a living goddess with hentai proportions)",Anonymous,http://boards.4chan.org/b/thread/904114827/ai-degenerated-art-and-porn#p904114974
