Date,Content,URL,Thread
"Jun-19-2023, 08:25:22",which normies wouldnt do 1)antarctica trip 2)fighter jet ride  3)skydiving on mt.everest,http://boards.4chan.org/trv/thread/2486136/itt-post-list-of-uniqueexpensive-experiences-on#p2486136,ITT_post_list_of_unique_expensive_experiences_on_your_bucket_list
"Jun-19-2023, 08:28:18",starting a family,http://boards.4chan.org/trv/thread/2486136/itt-post-list-of-uniqueexpensive-experiences-on#p2486137,ITT_post_list_of_unique_expensive_experiences_on_your_bucket_list
"Jun-19-2023, 08:45:10","when i was in strasbourg with a friend, we met up with a friend of mine from highschool who was training to become a pilot and invited us out to the airfield to give us an aerial tour of the castles in the region.",http://boards.4chan.org/trv/thread/2486136/itt-post-list-of-uniqueexpensive-experiences-on#p2486146,ITT_post_list_of_unique_expensive_experiences_on_your_bucket_list
"Jun-19-2023, 09:04:25","3)skydiving on mt.everest is that a thing? i didn’t think people could get stupider, if so. i went paragliding in switzerland once, exciting, only semi-expensive, semi-normie, won’t do again.   i worked in a drug rehab in thailand for a bit. not expensive, but also not normie.",http://boards.4chan.org/trv/thread/2486136/itt-post-list-of-uniqueexpensive-experiences-on#p2486158,ITT_post_list_of_unique_expensive_experiences_on_your_bucket_list
"Jun-19-2023, 09:47:42",skydiving on mt.everest impossible for several reasons.,http://boards.4chan.org/trv/thread/2486136/itt-post-list-of-uniqueexpensive-experiences-on#p2486193,ITT_post_list_of_unique_expensive_experiences_on_your_bucket_list
"Jun-19-2023, 09:48:15","normies love all these things. antarctic cruises massive hits, the cruise companies print money on these but they can only run so many because the season is so short. skydiving everest just meme variation on the most normie bucket list item there is muh fighter jet you can do it pretty easily, its expensive but you'll tick it off the bucket list. they'll even let you fly it. its not that extraordinary if you have a few grand to spend.",http://boards.4chan.org/trv/thread/2486136/itt-post-list-of-uniqueexpensive-experiences-on#p2486194,ITT_post_list_of_unique_expensive_experiences_on_your_bucket_list
"Jun-19-2023, 10:08:23","fighter jet ride there is this shit for spitfires near me, i see them every week. it starts at like £3k for 30mins",http://boards.4chan.org/trv/thread/2486136/itt-post-list-of-uniqueexpensive-experiences-on#p2486221,ITT_post_list_of_unique_expensive_experiences_on_your_bucket_list
"Jun-19-2023, 10:24:45",name one unique/expensive experience that normies won't do,http://boards.4chan.org/trv/thread/2486136/itt-post-list-of-uniqueexpensive-experiences-on#p2486232,ITT_post_list_of_unique_expensive_experiences_on_your_bucket_list
"Jun-19-2023, 10:52:36",that's all stuff you can buy. i'm not impressed.,http://boards.4chan.org/trv/thread/2486136/itt-post-list-of-uniqueexpensive-experiences-on#p2486247,ITT_post_list_of_unique_expensive_experiences_on_your_bucket_list
"Jun-19-2023, 11:24:39",birth a son and not mutilate his body and inject with heavy metals,http://boards.4chan.org/trv/thread/2486136/itt-post-list-of-uniqueexpensive-experiences-on#p2486261,ITT_post_list_of_unique_expensive_experiences_on_your_bucket_list
"Jun-19-2023, 12:29:39","mine are mostly related to animals. they're not really unique or even that expensive so i'm going to get them done.   seeing silverback gorillas and chimps up close in the jungle is a big one. diving outside of a cage with a great white is another. just imagine the rush from sitting a few meters across from a wild silverback gorilla, ready to fuck you up if you make the mistake of maintaining eye contact for a couple of seconds",http://boards.4chan.org/trv/thread/2486136/itt-post-list-of-uniqueexpensive-experiences-on#p2486299,ITT_post_list_of_unique_expensive_experiences_on_your_bucket_list
"Jun-19-2023, 13:33:50","i do not believe in this whole ""normies wouldnt do it"". but there are some a bit unusual experiences i'd do. none is that secret though. all well known. gorillas in rwanda transsiberian ciudad perdida trek everest base camp (by helicopter) the greatest day kayak in norweigian fjord stay in underwater suite  long range private jet (with suite)",http://boards.4chan.org/trv/thread/2486136/itt-post-list-of-uniqueexpensive-experiences-on#p2486334,ITT_post_list_of_unique_expensive_experiences_on_your_bucket_list
"Jun-19-2023, 15:58:32",i would love to ride a camel across the middle east and north africa. apart from that i would also very much jump at the chance to go to antarctica and find the entrance to agartha,http://boards.4chan.org/trv/thread/2486136/itt-post-list-of-uniqueexpensive-experiences-on#p2486412,ITT_post_list_of_unique_expensive_experiences_on_your_bucket_list
"Jun-19-2023, 17:31:31",bungee jumping off a bridge in auckland hiking through the mud and marsh in katmai national park to see dozens of grizzly bears up close everything else i've done is normie-tier,http://boards.4chan.org/trv/thread/2486136/itt-post-list-of-uniqueexpensive-experiences-on#p2486452,ITT_post_list_of_unique_expensive_experiences_on_your_bucket_list
"Jun-22-2023, 01:55:26",no reason to go to antarctica. waste of time and money to see ice and rocks,http://boards.4chan.org/trv/thread/2486136/itt-post-list-of-uniqueexpensive-experiences-on#p2488379,ITT_post_list_of_unique_expensive_experiences_on_your_bucket_list
"Jun-22-2023, 02:15:45",seeing the titanic wreck. i hear tickets prices are dropping. must be the economy.,http://boards.4chan.org/trv/thread/2486136/itt-post-list-of-uniqueexpensive-experiences-on#p2488381,ITT_post_list_of_unique_expensive_experiences_on_your_bucket_list
"Jun-22-2023, 02:37:47","bike through the americas, africa and eurasia by bike. maybe new zealand, too. and a coastal australian ride or something. i have all the gear, i'm just too poor, can't miss work for like 3 years.",http://boards.4chan.org/trv/thread/2486136/itt-post-list-of-uniqueexpensive-experiences-on#p2488387,ITT_post_list_of_unique_expensive_experiences_on_your_bucket_list
"Jun-22-2023, 03:02:11",plus there's nothing here worth seeing. just save your earth money and go back home.,http://boards.4chan.org/trv/thread/2486136/itt-post-list-of-uniqueexpensive-experiences-on#p2488394,ITT_post_list_of_unique_expensive_experiences_on_your_bucket_list
"Jun-22-2023, 03:44:25",might be able to hook you up with a bloke who built a sub for that in his shed. none of this licencing nonsense either so it'll be cheap,http://boards.4chan.org/trv/thread/2486136/itt-post-list-of-uniqueexpensive-experiences-on#p2488407,ITT_post_list_of_unique_expensive_experiences_on_your_bucket_list
"Jun-22-2023, 05:23:22",least degenerate /trv/eller,http://boards.4chan.org/trv/thread/2486136/itt-post-list-of-uniqueexpensive-experiences-on#p2488471,ITT_post_list_of_unique_expensive_experiences_on_your_bucket_list
