Date,Content,URL,Thread
"Jun-21-2023, 19:26:14","you're gonna die alone, kek.",http://boards.4chan.org/b/thread/901329914/youre-gonna-die-alone-kek#p901329914,No Subject
"Jun-21-2023, 19:27:02",4 that's rich coming from the heckin patootie incel,http://boards.4chan.org/b/thread/901329914/youre-gonna-die-alone-kek#p901329936,No Subject
"Jun-21-2023, 19:27:14",how to get a smol cutie patootie gf like this ;-;,http://boards.4chan.org/b/thread/901329914/youre-gonna-die-alone-kek#p901329941,No Subject
"Jun-21-2023, 19:27:59","6 fucking seethe, nigger 1 idk i need to know too",http://boards.4chan.org/b/thread/901329914/youre-gonna-die-alone-kek#p901329974,No Subject
"Jun-21-2023, 19:28:33",4 ywnbaw,http://boards.4chan.org/b/thread/901329914/youre-gonna-die-alone-kek#p901330000,No Subject
"Jun-21-2023, 19:29:05","4 fucking seethe, ni-aack!!",http://boards.4chan.org/b/thread/901329914/youre-gonna-die-alone-kek#p901330026,No Subject
"Jun-21-2023, 19:29:27","0 chud seething because i told him the nasty truth nice quads, incel.",http://boards.4chan.org/b/thread/901329914/youre-gonna-die-alone-kek#p901330047,No Subject
"Jun-21-2023, 19:30:17",6 every post i don't like is made by a tranny!,http://boards.4chan.org/b/thread/901329914/youre-gonna-die-alone-kek#p901330090,No Subject
"Jun-21-2023, 19:31:14",0 every post i don't like is made by a tra-aaack!!!,http://boards.4chan.org/b/thread/901329914/youre-gonna-die-alone-kek#p901330123,No Subject
"Jun-21-2023, 19:31:51",3 arrow fail,http://boards.4chan.org/b/thread/901329914/youre-gonna-die-alone-kek#p901330150,No Subject
"Jun-21-2023, 19:32:58",0 arrow fa-aack!,http://boards.4chan.org/b/thread/901329914/youre-gonna-die-alone-kek#p901330191,No Subject
"Jun-21-2023, 19:36:26",1 she's right,http://boards.4chan.org/b/thread/901329914/youre-gonna-die-alone-kek#p901330359,No Subject
"Jun-21-2023, 19:37:36",9 she's ri-aack!,http://boards.4chan.org/b/thread/901329914/youre-gonna-die-alone-kek#p901330413,No Subject
"Jun-21-2023, 19:40:19","3 kek this guys mad, did he manage to trolling himself? this is great, i don't even have to do anything. keep up the great work you lil idiot",http://boards.4chan.org/b/thread/901329914/youre-gonna-die-alone-kek#p901330542,No Subject
"Jun-21-2023, 19:42:55","2 kek this guys mad, did he manage to trolling himself? this is great, i don't even have to do anything. keep up the great work you lil idiot",http://boards.4chan.org/b/thread/901329914/youre-gonna-die-alone-kek#p901330666,No Subject
