Date,Content,URL,Thread
"Mar-16-2022, 20:46:10","post enslaved girls. nude, in sexy clothes, working or being auctioned. keep it /e/",http://boards.4chan.org/e/thread/2669577/slaves#p2669577,Slaves
"Mar-16-2022, 20:47:29",(1/6),http://boards.4chan.org/e/thread/2669577/slaves#p2669578,Slaves
"Mar-16-2022, 20:48:28",(2/6),http://boards.4chan.org/e/thread/2669577/slaves#p2669579,Slaves
"Mar-16-2022, 20:49:39",(3/6),http://boards.4chan.org/e/thread/2669577/slaves#p2669581,Slaves
"Mar-16-2022, 20:50:32",(4/6),http://boards.4chan.org/e/thread/2669577/slaves#p2669582,Slaves
"Mar-16-2022, 20:51:42",(5/6),http://boards.4chan.org/e/thread/2669577/slaves#p2669584,Slaves
"Mar-16-2022, 20:52:28",(6/6),http://boards.4chan.org/e/thread/2669577/slaves#p2669585,Slaves
"Mar-17-2022, 06:27:48",i miss this manga sooooo much.,http://boards.4chan.org/e/thread/2669577/slaves#p2669648,Slaves
"Mar-17-2022, 07:11:13",slaves are great.,http://boards.4chan.org/e/thread/2669577/slaves#p2669666,Slaves
"Mar-17-2022, 13:44:01",sauce?,http://boards.4chan.org/e/thread/2669577/slaves#p2669748,Slaves
"Mar-17-2022, 21:56:11",sauce?,http://boards.4chan.org/e/thread/2669577/slaves#p2669920,Slaves
"Mar-18-2022, 09:03:15",2669920 the arms peddler,http://boards.4chan.org/e/thread/2669577/slaves#p2670002,Slaves
"Mar-18-2022, 21:57:18",2669920 kiba no tabishounen now go and post pics.,http://boards.4chan.org/e/thread/2669577/slaves#p2670160,Slaves
"Mar-19-2022, 19:27:50",what source,http://boards.4chan.org/e/thread/2669577/slaves#p2670445,Slaves
"Mar-19-2022, 21:57:58","i don't mind people asking for source, but when you do, at least contribute to the thread posting a pic. sauce is minerva no kenshi.",http://boards.4chan.org/e/thread/2669577/slaves#p2670489,Slaves
"Mar-20-2022, 16:27:46",okay,http://boards.4chan.org/e/thread/2669577/slaves#p2670756,Slaves
"Mar-22-2022, 08:13:20",say you're gifted a slave from the slave gods. how do you dress her?,http://boards.4chan.org/e/thread/2669577/slaves#p2671169,Slaves
"Mar-25-2022, 07:27:27",maid outfit with no panties.,http://boards.4chan.org/e/thread/2669577/slaves#p2672072,Slaves
"Mar-25-2022, 07:33:14",a hat. and thats it.,http://boards.4chan.org/e/thread/2669577/slaves#p2672074,Slaves
"Mar-25-2022, 15:02:34",i self insert as the slave so no choice on the matter.what kind of hat? sombrero?,http://boards.4chan.org/e/thread/2669577/slaves#p2672141,Slaves
"Mar-25-2022, 19:44:01",just this hat. nothing else.,http://boards.4chan.org/e/thread/2669577/slaves#p2672215,Slaves
"Mar-25-2022, 20:41:52",got the page right after this one?,http://boards.4chan.org/e/thread/2669577/slaves#p2672234,Slaves
"Mar-25-2022, 22:12:21",you mean this?,http://boards.4chan.org/e/thread/2669577/slaves#p2672249,Slaves
"Mar-25-2022, 22:45:42","yes, perfect. thank you.   this is how slavery should look. very real, very sexy. slavery always seems so fake most of the time, especially in hentai.",http://boards.4chan.org/e/thread/2669577/slaves#p2672258,Slaves
"Mar-25-2022, 23:30:35","you are right, you have no idea of how many times i have been disappointed when i read a slavery related doujin just for it to turn the premise into an excuse for other unrelated fetishes. mindbreak is the worst offender here.",http://boards.4chan.org/e/thread/2669577/slaves#p2672262,Slaves
"Mar-25-2022, 23:41:16","is that an edit?  anyway, yeah, my problem with slavery is that it's usually some boring bdsm leather dungeon crap. even the girls, who are always perfectly groomed & don't have any signs of rough living, look like 1st world girlfriends trying to role play for their boyfriends. the women in those pages have nice hair, yeah, but they don't look like they came out of the makeup room or the spa.   slavery should be rough, uncaring, sad & degrading.",http://boards.4chan.org/e/thread/2669577/slaves#p2672266,Slaves
"Mar-26-2022, 00:01:19",i still miss this manga.,http://boards.4chan.org/e/thread/2669577/slaves#p2672269,Slaves
"Mar-26-2022, 10:10:33","well, you know what they say, ""you are the change you want to see in the world"". you can always give money to some guy in pixiv to get a drawing more to your liking. that's what i do when i want more pics to post here. i recommend you the dark mangaka, he's a good artist and his prices are quite affordable, he doesn't have a problem with making slavery focused drawings, as long as your request isn't scat or guro or extreme shit like that he is okay with it, you can always ask him what he does and doesn't draw if you are still not sure. the best thing is that it's pretty easy to contact him and his response is almost immediate. price list: https://files.catbox.moe/a4tv66.png if you guys know other artists that i can pay for my fetish, please let me know and tell me how to contact them.",http://boards.4chan.org/e/thread/2669577/slaves#p2672433,Slaves
"Mar-26-2022, 18:30:48",i um. confusing turn on...m,http://boards.4chan.org/e/thread/2669577/slaves#p2672530,Slaves
"Mar-27-2022, 16:59:23",like this.,http://boards.4chan.org/e/thread/2669577/slaves#p2672819,Slaves
"Mar-27-2022, 18:04:24",could you really handle and train a slave if the slave gods gifted you one?,http://boards.4chan.org/e/thread/2669577/slaves#p2672835,Slaves
"Mar-27-2022, 19:56:09","collar, that's key.",http://boards.4chan.org/e/thread/2669577/slaves#p2672851,Slaves
"Mar-29-2022, 23:26:15",micro bikini's are always a good start,http://boards.4chan.org/e/thread/2669577/slaves#p2673359,Slaves
"Mar-30-2022, 06:14:06",lingerie maid outfit. choker collar on at all times. butt plug during working hours.,http://boards.4chan.org/e/thread/2669577/slaves#p2673405,Slaves
"Apr-03-2022, 13:31:09","a collar. sandals and a leash if she needs to go outside for whatever reason. maybe some thighhighs when i'm in the mood. why does a slave need clothes? when i'm in the mood, i'm in the mood; i don't need to waste time waiting for her to undress and get in position.",http://boards.4chan.org/e/thread/2669577/slaves#p2674538,Slaves
"Apr-04-2022, 00:14:23",cute clothes are cute,http://boards.4chan.org/e/thread/2669577/slaves#p2674676,Slaves
"Apr-04-2022, 00:59:36",i would never be able to have slaves. i'd do the teaching feeling thing with one if i ever had one.,http://boards.4chan.org/e/thread/2669577/slaves#p2674681,Slaves
"Apr-04-2022, 01:03:26",i'd love her and dress her in cute dresses.,http://boards.4chan.org/e/thread/2669577/slaves#p2674682,Slaves
"Apr-04-2022, 18:34:35",sauce?,http://boards.4chan.org/e/thread/2669577/slaves#p2674874,Slaves
"Apr-05-2022, 01:17:27",/h/6517484,http://boards.4chan.org/e/thread/2669577/slaves#p2674958,Slaves
"Apr-16-2022, 03:58:03",this artist is great,http://boards.4chan.org/e/thread/2669577/slaves#p2678287,Slaves
"Apr-17-2022, 09:17:19",why does a slave need clothes? physical exposure depending on climate conditions.,http://boards.4chan.org/e/thread/2669577/slaves#p2678631,Slaves
"Apr-17-2022, 14:31:46","logically, a sex slave has no need for clothes. her job is in the bedroom, or at least indoors, and she must remain available to her master at all times to serve his needs and whims. if he decides to take her out into public as eye candy, she still has no need for clothing because the entire point is to show her off. she has no need to be outside in the sun, rain, or snow because the exact distance she's going to be from her master at any given time is the length of her leash.  thus, unless you want her to play dress up with cute clothes or appeal to a certain fetish, such as frilly dresses, thighhigh stockings, etc. she has no need for clothing. a slave's uniform denotes her purpose: the maid wears a dress and apron to make her role clear to observers and to keep her from getting dirty, a gardener wears overalls and a sunhat, and a sex slave's uniform is nothing at all.",http://boards.4chan.org/e/thread/2669577/slaves#p2678683,Slaves
"Apr-24-2022, 21:48:08","her job is in the bedroom, or at least indoors i think it's time for this little entrepreneurial venture to expand to additional markets franchising perhaps?",http://boards.4chan.org/e/thread/2669577/slaves#p2680535,Slaves
"Apr-24-2022, 22:39:23","i was just thinking, i don't know if i'd really be up for having a sex slave. i mean, it's pretty unethical. kind of fucked up having slaves at all imo. but i mean... if someone was about to throw theirs away...",http://boards.4chan.org/e/thread/2669577/slaves#p2680548,Slaves
"Apr-24-2022, 23:24:27",but i mean... if someone was about to throw theirs away... if you don't immediately set her free then you're equally as unethical,http://boards.4chan.org/e/thread/2669577/slaves#p2680556,Slaves
"Apr-25-2022, 00:32:15","2680556 think of it like this: you can't just throw a domesticated animal back into the wild and expect it to survive.  if you set her free, she will probably die, unless someone else takes her in and probably treats her worse, since the only thing she's trained to do is sex. so it's more ethical to keep her, and at least give her the satisfaction of being useful.",http://boards.4chan.org/e/thread/2669577/slaves#p2680572,Slaves
"Apr-26-2022, 19:44:40","hiraeth, a story on 7chan's /elit/, goes into this, with the main character feeling like he's a bad person for owning slaves... but he still goes and buys slaves, including sex slaves. he even thinks about how depressing the existence of a sex slave is, her entire reason for being simply being a cock sleeve for someone's pleasure. then he tries not to think about it. to be fair, he isn't abusive of his slaves (by the standards of the setting) and they think he's wonderful, but being judged by modern standards he's probably an asshole. the whole topic is explored, and frankly the story is great. i came for the sex scenes and cute foxgirls, i stayed for the worldbuilding and depth.",http://boards.4chan.org/e/thread/2669577/slaves#p2680876,Slaves
"May-02-2022, 21:37:54",gotta make your slaves look fancy when they are working a party.,http://boards.4chan.org/e/thread/2669577/slaves#p2682585,Slaves
"May-03-2022, 11:32:55",her manga really needs a solid ending after being cancelled.,http://boards.4chan.org/e/thread/2669577/slaves#p2682740,Slaves
"May-04-2022, 21:39:55",the cowards censored this in the anime,http://boards.4chan.org/e/thread/2669577/slaves#p2683150,Slaves
"May-04-2022, 23:02:37",are you kidding? that's still going?,http://boards.4chan.org/e/thread/2669577/slaves#p2683176,Slaves
"May-04-2022, 23:09:04",the only thing i can find is that it started in 1990 and was incomplete but the website source only goes to 2006. i watched the ova sometime around 1998. the first hentai ova i ever saw.,http://boards.4chan.org/e/thread/2669577/slaves#p2683177,Slaves
"May-05-2022, 01:26:50",is it safe to post megumin here? i commissioned a slave auction pic with the konosuba trio in it. i want to know if i can post it without being banned by the mods.,http://boards.4chan.org/e/thread/2669577/slaves#p2683204,Slaves
"May-05-2022, 21:43:27",huh? what? you mean like this?318,http://boards.4chan.org/e/thread/2669577/slaves#p2683433,Slaves
"May-05-2022, 21:58:10",what kind of sick mind...,http://boards.4chan.org/e/thread/2669577/slaves#p2683436,Slaves
"May-10-2022, 17:25:32","okay, i'll believe you. once the artist publish the pic i'll post it here.",http://boards.4chan.org/e/thread/2669577/slaves#p2684700,Slaves
"May-12-2022, 11:59:20","if you had slaves, what rules would you make them follow?",http://boards.4chan.org/e/thread/2669577/slaves#p2685092,Slaves
"May-12-2022, 13:12:09",shut up and do what i say.,http://boards.4chan.org/e/thread/2669577/slaves#p2685104,Slaves
"May-12-2022, 13:12:44","basically the same as natural another one https://vndb.org/v5532 #1, unless given an alternative no clothing may be worn indoors. #2, you must go to bed after your master and must wake up before your master #3, you must prepare all meals and keep the house clean #4, you must follow all orders given by your master, (the implication being even if they're immoral or illegal. minao is forced to strip nude and walk home on her own from the park and is left handcuffed naked to a fire escape and abandoned there all day long for example) #5 you are property and must act like it. (for example she has no human rights of her own, was not allowed to complain when treated as a pet and taken on walks outdoors and making her pee on the floor) #6, you must be willing to have sex with your master whenever he wishes and cannot complain if he cums inside, i will impregnate you at my leisure  i like the rules sohei gave to minao and don't see much need to alter them. he was a good slave master.",http://boards.4chan.org/e/thread/2669577/slaves#p2685105,Slaves
"May-12-2022, 13:29:11","slaves need rules dude, they need to know what they're supposed to be doing when you're not around babysitting them.",http://boards.4chan.org/e/thread/2669577/slaves#p2685119,Slaves
