"User","Content","Date","URL","Coordinates","Place"
"soiiviic","@frandl_ es una poronga me da ganas de ahorcarme con el cable de la tele","2014-12-30 06:27:27","https://twitter.com/soiiviic/status/549814000750702593",NA,NA
"gatoacostadou","Yo bastante tengo con no ahorcarme con el cable del móvil cuando lo enchufo detrás de la cama, como para tener más de una cuenta en Twitter.","2014-12-29 23:46:38","https://twitter.com/gatoacostadou/status/549713130868465664",NA,NA
"Lucasnun_","Menos mal que hoy se juega porque esta fecha provoca que quiera ahorcarme","2014-12-28 17:58:00","https://twitter.com/Lucasnun_/status/549263006409195520",NA,NA
"cigarettommy","cada vez falta menos para el cumpleaños de zayn y quiero ahorcarme","2014-12-27 05:56:40","https://twitter.com/cigarettommy/status/548719091817918466",NA,NA
"lwtironic","@Z4YNSHADY y hoy me entere que viven juntos queria ahorcarme entiendes lo dificil que es mi vida","2014-12-26 09:40:05","https://twitter.com/lwtironic/status/548412925967609857",NA,NA
"CyanideMoon","estoy superfrustrada dadme una sola razón para no ahorcarme","2014-12-25 12:55:53","https://twitter.com/CyanideMoon/status/548099813502623744",NA,NA
"almostdo","esto no se le hace a las gordas sensibles como yo,  harry es tan tierno que me dan ganas de ahorcarme http://t.co/oOvIqbt0K4","2014-12-25 01:22:48","https://twitter.com/almostdo/status/547925391902769152",NA,NA
"_clitoris666","ahorcarme &gt;&gt;&gt; ir a fiestas \"familiares\"","2014-12-24 21:03:29","https://twitter.com/_clitoris666/status/547860133171445760",NA,NA
"sunflhowers","tengo que acostumbrarme a que louis tenga 23 años pero cuando me acostumbre el ya va a cumplir 24 que ganas de agarrar la soga y ahorcarme","2014-12-24 17:17:24","https://twitter.com/sunflhowers/status/547803240386281472",NA,NA
"Espinete_Oscuro","Anoche escuché la voz de Satán. Me dijo que nunca se me va a aparecer el amor y que debería ahorcarme.","2014-12-23 09:55:05","https://twitter.com/Espinete_Oscuro/status/547329539127640064",NA,NA
"crisbeeeel","Que hago con estas ganas de ahorcarme señor","2014-12-22 20:26:02","https://twitter.com/crisbeeeel/status/547125933455716352",NA,NA
"Espinete_Oscuro","Si me toca la lotería, el dinero lo destinaré a construirme un mausoleo antes de ahorcarme.","2014-12-22 09:19:40","https://twitter.com/Espinete_Oscuro/status/546958239481724928",NA,NA
