"User","Content"
"crzypill","@SatanTendO ahorcame por dios ahorcame hasta el punto de que tus manos me dejen marca pero no dejes de ahorcarme déjame sin respiración total si muero voy a morir entre tus lindas manos y por ser el más intenso y asombroso en todo el universo ahorcame por favor no pares de ahorcame"
"s_urkiza","Entre esta lluvia y el bajon que tengo, estoy mirando el palo de la cortina para colgar una soga y ahorcarme"
"khaotron","dónde ta mi mata de mamón pa ahorcarme"
"TitaDinamitta","@El_Conde_Chico Toi a punto de ahorcarme. Pon un Réquiem."
"mirinhardan","Se me ha ocurrido un sitio toh guay donde ahorcarme. xDDDD"
"RosarioVillalb3","Muero de hambre, después me acuerdo que estoy gorda y me dan ganas de ahorcarme...."
"crisktanas","Aitana con ese look puede ahorcarme y pedirme que haga lo que ella quiera vaya. #OTGala6"
"comoelchocolate","Se están volviendo a usar esos collares de plástico horribles voy a comprarme cien y usarlos para ahorcarme"
"quinovp","Estoy subiendo una acc a nivel 30 y me están entrando ganas de ahorcarme con cada temo que veo en toplane. Pensaba que había pasado página y cuando menos te lo esperas..."
"arriqui24","@trikitriki3000 Y que vaya  aganar... me dan ganas de ahorcarme xd"
"muyevil","@Swedviking1 Elijo ahorcarme"
"cigarettommy","termina el wwat y no vamos a saber nada de zayn quiero ahorcarme"
"___LuisMH_","Tener que ir a la facu una hora y media por la conchuda de Pares---&gt; voy a ahorcarme al granero"
"tearxsuga","cuando empiece la facultad seguro voy a querer ahorcarme por no tener tiempo y ahora que estoy re mil al pedo no pasa nada interesante asi es mi vida"
"Espinete_Oscuro","- ¿Qué planes tienes para el verano? - Ahorcarme a principios de julio."
"gabuleta","Me estoy buscando en un video de CUATRO HORAS y no sé en qué parte salgo. Encima todo para después odiar cómo salgo y ahorcarme."
"florherrera420","Quiero ahorcarme."
"Bellaca_RM","no sé si lo habréis notado, pero estoy para ahorcarme con alambre de espino."
"crysaurus","mi primera clase mañana es economía dios qué ganas de ahorcarme"
"jair_te","Wey, que brazotes. ¿No quieres ahorcarme poquito?"
"deIicatebucky","Saben que bullets ya me llegó pero todavía no me lo liberaron para irlo a buscar voy a ahorcarme"
"Espinete_Oscuro","-¿Qué planes tienes para Nochevieja? -No sé si ahorcarme o pegarme un tiro."
"vcr1996","cada tanto no olvido el acto de querer ahorcarme por que nunca fui el ejemplo que quisieron mis padres......"
"gjoutete","la letra de cada uno quiero llorar y ahorcarme"
"Amatorytish","Ese acento paisa que muestran en las novelas me dan ganas de ahorcarme."
"CastaliaR","Urgente me salvaron d ahorcarme el motivo vivimos en un tanque d agua sin ventanas ni baños con estrada libre a los ladrones todo eso  Me llevo a este acto  adjudiqueme 1vivienda, soy paciente oncológico y psiquiátrico 04246616525 Castalia Añez 6908245 https://t.co/N2gdcQ8S1C"
"sakusacut","ahorcame por dios ahorcame hasta el punto de que tus manos me dejen marca pero no dejes de ahorcarme déjame sin respiración total si muero voy a morir entre tus lindas manos y por ser la más intensa y asombrosa en todo el universo ahorcame por favor no pares de ahorcame https://t.co/t6f9pCzYSk"
"Deekkora","Me saco las tripas y me hago una soga con ella para poder ahorcarme."
"OzpinTargaryen","Prefiero ahorcarme"
"harryleighs","tengo ganas de ahorcarme https://t.co/T11aqUP5UP"
"airthquake","Quiero ahorcarme."
"palomamb11","Pásame un macarrón cocinado para ahorcarme 😰 https://t.co/I8MQnPEXBz"
"lethouisbe","uh me olvidé de cambiar el tiempo deñ snap y subí uno de diez segundos que ganas de ahorcarme odio los snaps tan largos"
"ukEfvcker","Estoy buscando una soga para ahorcarme ya."
"takamilolis","ven a ahorcarme xfa"
"Stefantasmaa","Quiere ahorcarme cuando la cosa le excita..."
"harryleighs","@MileyCyrus @nickjonas VOY A AHORCARME LOS EXTRAÑO TANTO AY"
"comoelchocolate","Estaba feliz y calentita escuchando la lluvia desde la cama pero pensé en los q están en la calle y estoy buscando una viga para ahorcarme"
"lwtironic","liam felicitó a zayn, omg, quiero ahorcarme."
"Espinete_Oscuro","@mercrominia @Venusipollas Yo tenía previsto ahorcarme."
"ohmyboystyles","Harry le agarro el celular a la misma chica que fue a conocer a su casa yo quiero ahorcarme con una soga en un arbol y morir por ser pobre"
"Miss_muertos","voy a ocmprarme una cuerda al chino para ahorcarme en el balcon de europa"
"Pachifula","@angela0610 jeje ya tendrá ganas de ahorcarme jajaja"
