"User","Content","Date","URL","Coordinates","Place"
"Tito5745","Niña, dame una pestaña de tus ojos para colgarme de amor por ti.","2014-12-30 22:01:28","https://twitter.com/Tito5745/status/550049054819106817",NA,NA
"RomuloCalzado","Niña, dame una pestaña de tus ojos para colgarme de amor por ti.","2014-12-30 22:01:23","https://twitter.com/RomuloCalzado/status/550049033100984320",NA,NA
"Memmohernandez","@LachoSalazar De cuantos metros tiene que ser la cuerda para ya colgarme a la verga ?","2014-12-30 20:02:19","https://twitter.com/Memmohernandez/status/550019070108909568",NA,NA
"Ruicitos69","Niña, dame una pestaña de tus ojos para colgarme de amor por ti.","2014-12-30 16:01:27","https://twitter.com/Ruicitos69/status/549958451867418624",NA,NA
"tobiasacn","Niña, dame una pestaña de tus ojos para colgarme de amor por ti.","2014-12-30 15:03:23","https://twitter.com/tobiasacn/status/549943839801503744",NA,NA
"charcoalstains","Cuando yo era Gale era como la definición de sida, me acordé de eso y me dieron ganas de colgarme.","2014-12-30 08:55:14","https://twitter.com/charcoalstains/status/549851189668761600",NA,NA
"charcoalstains","Pensar en Dylan como Quinton me da ganas de colgarme.","2014-12-30 08:52:15","https://twitter.com/charcoalstains/status/549850440213757952",NA,NA
"mu_guido","Soy de colgarme bastante, digo que voy a hacer algo y no lo hago por un par de días, ahora colgué con la barba, parezco papá noel ah....","2014-12-30 08:14:18","https://twitter.com/mu_guido/status/549840890316218368",NA,NA
"lorezurdo","Niña, dame una pestaña de tus ojos para colgarme de amor por ti.","2014-12-30 07:35:21","https://twitter.com/lorezurdo/status/549831090027118592",NA,NA
"PaquitoHdz270","Niña, dame una pestaña de tus ojos para colgarme de amor por ti.","2014-12-30 07:01:10","https://twitter.com/PaquitoHdz270/status/549822483998982144",NA,NA
"andariego_mx","Niña, dame una pestaña de tus ojos para colgarme de amor por ti.","2014-12-30 02:20:21","https://twitter.com/andariego_mx/status/549751815689211904",NA,NA
"Enzo_Escobarr","No me gusta colgarme con tw :c","2014-12-30 01:38:40","https://twitter.com/Enzo_Escobarr/status/549741327660113922",NA,NA
"El_Mojadochis","Niña, dame una pestaña de tus ojos para colgarme de amor por ti.","2014-12-29 22:00:40","https://twitter.com/El_Mojadochis/status/549686465375256576",NA,NA
"kittysponda","Niña, dame una pestaña de tus ojos para colgarme de amor por ti.","2014-12-29 19:10:25","https://twitter.com/kittysponda/status/549643617946828800",NA,NA
"NestorAugusto4","Niña, dame una pestaña de tus ojos para colgarme de amor por ti.","2014-12-29 16:01:21","https://twitter.com/NestorAugusto4/status/549596039024750592",NA,NA
"alicia_manchad0","Niña, dame una pestaña de tus ojos para colgarme de amor por ti.","2014-12-29 13:15:23","https://twitter.com/alicia_manchad0/status/549554273995194368",NA,NA
"luisscabbr","Niña, dame una pestaña de tus ojos para colgarme de amor por ti.","2014-12-29 10:02:37","https://twitter.com/luisscabbr/status/549505761567834112",NA,NA
"ursulallan","Niña, dame una pestaña de tus ojos para colgarme de amor por ti.","2014-12-29 09:05:29","https://twitter.com/ursulallan/status/549491382147362816",NA,NA
"newtisthegIue","\"No colgarme como Landon\", pues debería, bue.","2014-12-29 09:02:40","https://twitter.com/newtisthegIue/status/549490675369398272",NA,NA
"charcoalstains","No colgarme como Landon sino de cortar el teléfono —le restriega las bragas por la cara—. Pero yo no iba a permitirlo.","2014-12-29 09:02:10","https://twitter.com/charcoalstains/status/549490549859049475",NA,NA
"charcoalstains","Y yo lo llamé y el pobrecito estaba todo nervioso ay pobre bebé y guardó la merca y dijo \"me voy a dar una ducha, Nova\" tipo para colgarme.","2014-12-29 09:00:24","https://twitter.com/charcoalstains/status/549490102385524736",NA,NA
"zay_rag","Niña, dame una pestaña de tus ojos para colgarme de amor por ti.","2014-12-29 08:35:25","https://twitter.com/zay_rag/status/549483818261180416",NA,NA
"florenxiakd","hace dos semanas que no duermo en mi cama estaria queriendo colgarme","2014-12-29 02:52:37","https://twitter.com/florenxiakd/status/549397548767936512",NA,NA
"elvientoafavor","Qué vértigo más delicioso el colgarme entre tus labios.","2014-12-29 02:22:55","https://twitter.com/elvientoafavor/status/549390074027454464",NA,NA
"pepemndiol","Niña, dame una pestaña de tus ojos para colgarme de amor por ti.","2014-12-29 01:03:13","https://twitter.com/pepemndiol/status/549370018321145856",NA,NA
