"User","Content"
"vukkwo","estoy planeando ir a colgarme ya mismo"
"chicalunarL","Hoy el viernes está como ese viernes que dejé el trabajo y garche para colgarme y quemé la tele con incienso."
"RLxx8","No sabía que tenía una foto favorita de Cepeda en su gira hasta que he visto este cuadro que quiero colgarme https://t.co/P0YZBFifFY"
"pipaarasa","Seguro se siente purete mirarte y me digas que te sentís incomoda de tanto colgarme por vos."
"wkman_sp","Lo único que quiero es colgarme con vos, y, por vos"
"Hermosa_Bertha","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"LorenVazquezz","Pensas colgarme mucho más?"
"dantadav","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"_violentdreams_","O hacer algo espontáneo, como colgarme de una viga."
"strezhyta","@palaciohierro es una porqueria no es posible que yo este aclarando una situación de mi tarjeta y su personal prefiera colgarme para no atenderme ! No respetan sus promociones y ni \"sus apoyos\" @Profeco @CondusefMX"
"brianacmr","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"epiceartbri","dejen de colgarme xfas me estoy aburriendo"
"tbsIwlls","Voy a colgarme"
"saraisanch","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"breathincabj","@mystaresposito deja de colgarme"
"ArturoVelasco18","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"Tamicaela_","Holaaaaaaaaaaaaaaaaaaaaaaaaaa, gracias por colgarme, ... — AJAJAJJAJA soy un desastre, perdon uri :C :C tkm fuer... http://t.co/cWEOyJHC1r"
"Gonzo1700","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"skooluvfair","miren si hey angel es como 18 ja ja ja mejor voy buscando un arbol para colgarme"
"bokkiev_v","@HESPHOBlA estoy a nada d colgarme del balcon alguien tiene q sufrir conmigo"
"JuuliFratesi","Dejen de colgarme la concha de sus abuelas"
"Barrbaramarisol","Chandelier me dan ganas de colgarme de una hamaca gigante y cantarla a los gritos. Así o m´s problemitas mentales?"
"soyleds","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"CamilaaCoronel_","Prometo no colgarme asi soy parte del grupo, que lindoooo"
"luciavetziek_","@giankehler Vos callate y deja de colgarme gilaso"
"kalandria10","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"luliicostanzo","@lulii69991131 ms increíble todo lo que te hiciste querer,te adoro inutil y deja de colgarme"
"paranoicamila","dios mañana mi tio quiere hablar conmigo adivinen si estoy teniendo una crisis y viendo la forma de despertarme temprano mañana y colgarme con las sábanas"
"ITKlNO","ok not funny q up10tion ot7 hayan presentado una canción ot10 con una pista ot9 me río para no colgarme"
"Tortinegraok","Estoy a dos segundos de colgarme de la puerta y decir Hola .__. Onda exorcista."
"JulianMarro","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"luciavetziek_","@valecandiotte @SantinoSardelli te amo val, santino deja de colgarme forro"
"IovehsIt","porque volvi de la casa de mi amiga hubiese preferido quedarme y de paso colgarme"
"yesishes","Cuando las cosas no van bien, cuando las cosas no están bien, puedo colgarme a caminar, patear la noche y viajar"
"ValeGalarraga","Odio colgarme en cerrar fb cuando miro la serieee."
"allarxundme","@luuzifk Es que anoche me ocupé en algo. Y ahora estaré libre hasta la noche, entonces ni modo que les hable para colgarme. O puede que sí."
"yomslvs","@Ok_Boomer_Anz yo acabo de tener mi mental break down, y estoy al borde de colgarme"
"chaospresage","@hvyside flaca para cuando termine el anime seguro que va a ser fin de año y yo ya voy a tener los arreglos para colgarme"
"nnnahuelb","Soy capaz de colgarme hasta unas horas más"
"Symphony_TN","@shkriptonlemon ¡Yo tambien! zapeame por colgarme tantO ;;;;   /La abraza suavecito debido a su pancita."
"baraaguirre","@giuzottola te amo bebita💓 deja de colgarme que no voy a tu cumple e"
"illyagore","TENGO SUEÑO Y HAMBRE Y GANSS DE COLGARME"
"M477K","@ArianaaCG Si xd *PD: Perdón por colgarme xd*"
"LorenVazquezz","No sabe hacer otra cosa que colgarme"
"Sombra_Oculta40","...sin pensaste que ibas a colgarme / con que ropa / zorra conchetumadreeee ! ! !"
"27__rama","@Maylem32990474 deja de colgarme y de cantar😡😡"
"BenelliCamila","@MaauroRojass gracias por colgarme,tkmil"
"brianacmr","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"Foreverhaso","Hora de sumergirme en Youtube, a colgarme bien con las musicas.."
"bngstark","SON EL MISMO LITERALMENTE, YENDO A COLGARME https://t.co/KNlzNI0eow"
"danielaMoreyra_","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"buzzllejbh","@offmyline amiga solo con tu signo solar me basta para colgarme los odioooo menos a vos"
"YocGeorge","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"AlvaroGranero","Colgarme de cualquiera que le guste trasnochar"
"En_Negro","Hay tantos árboles aquí que no sé de cuál colgarme."
"DonkhodeHelio","No trabajo para colgarme medallitas así que ya vengan a comprar FFS"
"LuchoSartori","Gracias por colgarme jajajaja ya te voy a curar jum"
"RebecaM16","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"Ulises_FabianN","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"YocGeorge","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"Los_Rockets","Qué me queda por hacer? no sé, tal vez deba colgarme de una vez..."
"tomyrevelchione","Colgarme así me pone loco"
"Tito5745","Niña, dame una pestaña de tus ojos para colgarme de amor por ti."
"Ferdinandonv","Me viene mal eso de que FB dice cuando alguien esta escribiendo el mensaje. Suelo colgarme o directamente no escribo nada."
"Rooo149","Ojala giuliana deje de colgarme"
"tomasbeckham","@PilarCrowell mal ahi esa de colgarme."
